epochs,batch_size,data_aug,activation_function,learning_rate
1,32,True,relu,0.1
1,32,True,relu,0.01
1,32,True,relu,0.001
1,32,True,relu,0.0001
2,32,True,relu,0.1
2,32,True,relu,0.01
2,32,True,relu,0.001
2,32,True,relu,0.0001
1,32,False,relu,0.1
1,32,False,relu,0.01
1,32,False,relu,0.001
1,32,False,relu,0.0001
2,32,False,relu,0.1
2,32,False,relu,0.01
2,32,False,relu,0.001
2,32,False,relu,0.0001
1,64,True,relu,0.1
1,64,True,relu,0.01
1,64,True,relu,0.001
1,64,True,relu,0.0001
2,64,True,relu,0.1
2,64,True,relu,0.01
2,64,True,relu,0.001
2,64,True,relu,0.0001
1,64,False,relu,0.1
1,64,False,relu,0.01
1,64,False,relu,0.001
1,64,False,relu,0.0001
2,64,False,relu,0.1
2,64,False,relu,0.01
2,64,False,relu,0.001
2,64,False,relu,0.0001
1,32,True,sigmoid,0.1
1,32,True,sigmoid,0.01
1,32,True,sigmoid,0.001
1,32,True,sigmoid,0.0001
2,32,True,sigmoid,0.1
2,32,True,sigmoid,0.01
2,32,True,sigmoid,0.001
2,32,True,sigmoid,0.0001
1,32,False,sigmoid,0.1
1,32,False,sigmoid,0.01
1,32,False,sigmoid,0.001
1,32,False,sigmoid,0.0001
2,32,False,sigmoid,0.1
2,32,False,sigmoid,0.01
2,32,False,sigmoid,0.001
2,32,False,sigmoid,0.0001
1,64,True,sigmoid,0.1
1,64,True,sigmoid,0.01
1,64,True,sigmoid,0.001
1,64,True,sigmoid,0.0001
2,64,True,sigmoid,0.1
2,64,True,sigmoid,0.01
2,64,True,sigmoid,0.001
2,64,True,sigmoid,0.0001
1,64,False,sigmoid,0.1
1,64,False,sigmoid,0.01
1,64,False,sigmoid,0.001
1,64,False,sigmoid,0.0001
2,64,False,sigmoid,0.1
2,64,False,sigmoid,0.01
2,64,False,sigmoid,0.001
2,64,False,sigmoid,0.0001
1,32,True,linear,0.1
1,32,True,linear,0.01
1,32,True,linear,0.001
1,32,True,linear,0.0001
2,32,True,linear,0.1
2,32,True,linear,0.01
2,32,True,linear,0.001
2,32,True,linear,0.0001
1,32,False,linear,0.1
1,32,False,linear,0.01
1,32,False,linear,0.001
1,32,False,linear,0.0001
2,32,False,linear,0.1
2,32,False,linear,0.01
2,32,False,linear,0.001
2,32,False,linear,0.0001
1,64,True,linear,0.1
1,64,True,linear,0.01
1,64,True,linear,0.001
1,64,True,linear,0.0001
2,64,True,linear,0.1
2,64,True,linear,0.01
2,64,True,linear,0.001
2,64,True,linear,0.0001
1,64,False,linear,0.1
1,64,False,linear,0.01
1,64,False,linear,0.001
1,64,False,linear,0.0001
2,64,False,linear,0.1
2,64,False,linear,0.01
2,64,False,linear,0.001
2,64,False,linear,0.0001
1,32,True,tanh,0.1
1,32,True,tanh,0.01
1,32,True,tanh,0.001
1,32,True,tanh,0.0001
2,32,True,tanh,0.1
2,32,True,tanh,0.01
2,32,True,tanh,0.001
2,32,True,tanh,0.0001
1,32,False,tanh,0.1
1,32,False,tanh,0.01
1,32,False,tanh,0.001
1,32,False,tanh,0.0001
2,32,False,tanh,0.1
2,32,False,tanh,0.01
2,32,False,tanh,0.001
2,32,False,tanh,0.0001
1,64,True,tanh,0.1
1,64,True,tanh,0.01
1,64,True,tanh,0.001
1,64,True,tanh,0.0001
2,64,True,tanh,0.1
2,64,True,tanh,0.01
2,64,True,tanh,0.001
2,64,True,tanh,0.0001
1,64,False,tanh,0.1
1,64,False,tanh,0.01
1,64,False,tanh,0.001
1,64,False,tanh,0.0001
2,64,False,tanh,0.1
2,64,False,tanh,0.01
2,64,False,tanh,0.001
2,64,False,tanh,0.0001
1,32,True,softplus,0.1
1,32,True,softplus,0.01
1,32,True,softplus,0.001
1,32,True,softplus,0.0001
2,32,True,softplus,0.1
2,32,True,softplus,0.01
2,32,True,softplus,0.001
2,32,True,softplus,0.0001
1,32,False,softplus,0.1
1,32,False,softplus,0.01
1,32,False,softplus,0.001
1,32,False,softplus,0.0001
2,32,False,softplus,0.1
2,32,False,softplus,0.01
2,32,False,softplus,0.001
2,32,False,softplus,0.0001
1,64,True,softplus,0.1
1,64,True,softplus,0.01
1,64,True,softplus,0.001
1,64,True,softplus,0.0001
2,64,True,softplus,0.1
2,64,True,softplus,0.01
2,64,True,softplus,0.001
2,64,True,softplus,0.0001
1,64,False,softplus,0.1
1,64,False,softplus,0.01
1,64,False,softplus,0.001
1,64,False,softplus,0.0001
2,64,False,softplus,0.1
2,64,False,softplus,0.01
2,64,False,softplus,0.001
2,64,False,softplus,0.0001
